classID,salience,fold,accuracy,f1,fpr
4,2,8,0.0,0.0,0.0
4,2,9,0.0,0.0,0.0
4,2,10,0.0,0.0,0.0
5,1,1,0.978494623655914,0.9891304347826086,0.0
5,1,2,0.6629213483146067,0.7972972972972973,0.0
5,1,3,0.3076923076923077,0.47058823529411764,0.0
5,1,4,0.5607476635514018,0.718562874251497,0.0
5,1,5,0.7009345794392523,0.8241758241758241,0.0
5,1,6,0.6842105263157895,0.8125,0.0
5,1,7,0.6941176470588235,0.8194444444444444,0.0
5,1,8,0.6941176470588235,0.8194444444444444,0.0
5,1,9,0.6,0.75,0.0
5,1,10,0.4444444444444444,0.6153846153846154,0.0
5,2,1,0.3333333333333333,0.5,0.0
5,2,2,0.0,0.0,0.0
5,2,3,0.0,0.0,0.0
5,2,6,0.0,0.0,0.0
5,2,7,0.9523809523809523,0.975609756097561,0.0
5,2,8,0.0,0.0,0.0
5,2,9,0.7777777777777778,0.875,0.0
5,2,10,0.0,0.0,0.0
6,1,1,1.0,1.0,0.0
6,1,2,0.9032258064516129,0.9491525423728814,0.0
6,1,3,0.8055555555555556,0.8923076923076922,0.0
6,1,4,0.5555555555555556,0.7142857142857143,0.0
6,1,5,0.9090909090909091,0.9523809523809523,0.0
6,1,6,0.4222222222222222,0.59375,0.0
6,1,7,0.84,0.9130434782608695,0.0
6,1,8,0.8461538461538461,0.9166666666666666,0.0
6,1,9,0.88,0.9361702127659575,0.0
6,1,10,0.9333333333333333,0.9655172413793104,0.0
6,2,2,0.0,0.0,0.0
6,2,4,0.55,0.7096774193548387,0.0
6,2,5,0.0,0.0,0.0
6,2,6,0.0,0.0,0.0
6,2,7,0.5769230769230769,0.7317073170731707,0.0
6,2,8,0.0,0.0,0.0
6,2,9,0.0,0.0,0.0
6,2,10,0.0,0.0,0.0
7,1,1,0.12162162162162163,0.21686746987951808,0.0
7,1,2,0.0,0.0,0.0
7,1,3,0.056074766355140186,0.10619469026548671,0.0
7,1,4,0.18947368421052632,0.3185840707964602,0.0
7,1,5,0.23529411764705882,0.38095238095238093,0.0
7,1,6,0.09090909090909091,0.16666666666666666,0.0
7,1,7,0.06451612903225806,0.12121212121212122,0.0
7,1,8,0.0641025641025641,0.12048192771084337,0.0
7,1,9,0.10666666666666667,0.1927710843373494,0.0
7,1,10,0.0898876404494382,0.16494845360824742,0.0
7,2,1,0.021739130434782608,0.0425531914893617,0.0
7,2,2,0.6696428571428571,0.8021390374331551,0.0
7,2,3,0.0,0.0,0.0
7,2,4,0.0,0.0,0.0
7,2,5,0.0,0.0,0.0
7,2,6,0.15384615384615385,0.26666666666666666,0.0
7,2,7,0.8222222222222222,0.9024390243902439,0.0
7,2,9,0.0,0.0,0.0
7,2,10,0.0,0.0,0.0
8,1,1,1.0,1.0,0.0
8,1,2,1.0,1.0,0.0
8,1,3,1.0,1.0,0.0
8,1,4,0.5714285714285714,0.7272727272727273,0.0
8,1,5,0.9433962264150944,0.9708737864077671,0.0
8,1,6,0.8333333333333334,0.9090909090909091,0.0
8,1,7,0.8333333333333334,0.9090909090909091,0.0
8,1,8,0.9787234042553191,0.9892473118279569,0.0
8,1,9,0.9444444444444444,0.9714285714285714,0.0
8,1,10,1.0,1.0,0.0
8,2,1,0.9821428571428571,0.990990990990991,0.0
8,2,2,0.8305084745762712,0.9074074074074074,0.0
8,2,3,0.8981481481481481,0.9463414634146341,0.0
8,2,4,0.9539473684210527,0.9764309764309765,0.0
8,2,5,0.9444444444444444,0.9714285714285713,0.0
8,2,6,0.8235294117647058,0.9032258064516129,0.0
8,2,7,0.8,0.8888888888888888,0.0
8,2,8,0.8484848484848485,0.9180327868852459,0.0
8,2,9,0.9285714285714286,0.9629629629629629,0.0
8,2,10,0.6301369863013698,0.773109243697479,0.0
9,1,1,0.9629629629629629,0.9811320754716981,0.0
9,1,2,0.9863013698630136,0.993103448275862,0.0
9,1,3,0.9666666666666667,0.9830508474576273,0.0
9,1,4,0.9583333333333334,0.9787234042553191,0.0
9,1,5,0.9827586206896551,0.991304347826087,0.0
9,1,6,0.9827586206896551,0.991304347826087,0.0
9,1,7,0.9876543209876543,0.9937888198757763,0.0
9,1,8,0.8732394366197183,0.9323308270676691,0.0
9,1,9,0.9696969696969697,0.9846153846153846,0.0
9,1,10,1.0,1.0,0.0
9,2,1,1.0,1.0,0.0
9,2,2,0.9629629629629629,0.9811320754716981,0.0
9,2,3,0.9857142857142858,0.9928057553956835,0.0
9,2,4,0.9423076923076923,0.9702970297029702,0.0
9,2,5,1.0,1.0,0.0
9,2,6,0.9285714285714286,0.9629629629629629,0.0
9,2,7,1.0,1.0,0.0
9,2,8,1.0,1.0,0.0
9,2,9,1.0,1.0,0.0
9,2,10,1.0,1.0,0.0
